,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc
country,ae,af,ag,al,am,ao,ar,au,az,ba,bb,bd,bf,bi,bj,bn,bo,br,bt,bw,by,bz,ca,cd,cf,cg,ci,cl,cm,cn,co,cr,cv,dj,dm,do,dz,eg,er,fj,ga,gd,ge,gh,gm,gq,gt,gw,gy,hn,ht,id,il,in,iq,is,jm,jp,ke,kg,kh,km,kn,kr,kw,kz,lc,ls,ma,md,mg,mk,ml,mm,mn,mu,mv,mx,my,mz,ne,ng,ni,no,np,om,pa,pg,ph,pk,py,qa,ro,rs,ru,sa,sb,sc,sd,sl,sn,sr,ss,st,sy,sz,td,tg,th,tj,to,tr,tt,tz,ua,ug,uy,vc,ve,vu,ws,za,zm
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,23115860975.0,,,,,,,1.247478e+11,,,,,,,,,,28052503480.0,,,,2.570098446e+13,,4.324226e+12,,,,,,,,,,,,,,,,,,,,,,,,3.75610277482e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6979e+12,2.007081e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,51838000000.0,,250297490.0,,2.75224513881e+11,46485428865.0,27902973000.0,53734000000.0,1696847698.73,3740983000.0,1291110000.0,3.24255994141e+11,3.195399e+11,1.218038e+11,4.902629e+11,1709370576.71,21430015840.8,3.37358e+11,11146888612.7,41340901490.0,204784697.944,421665000.0,41804499000.0,84313009000.0,1.64131e+11,2.51528e+11,1.3573382e+12,2.8739548e+13,8.06452e+11,4.729632e+12,3.2549295217e+13,7.18934529593e+11,20159500000.0,,94881061.0,45584884129.0,1.85686544691e+12,,6818629059.82,944501000.0,3.01262e+11,183736948.0,1230747880.0,925558462.351,2334460000.0,64310000000.0,41153186263.8,73694700000.0,1.119290296e+11,37436861733.4,24970789000.0,6.345210057e+14,1.35189671278e+11,4.19876533358e+12,,1.15899262212e+11,1.6538293e+11,1.231826e+14,1.42247146214e+11,25783000000.0,3.623487701e+12,40454268127.0,159383363.0,1.72442315e+14,3487525947.37,,246879503.0,5486055619.0,1.21074421253e+11,7071321448.0,,,4.138643e+11,7.23885e+11,3.883787272e+11,28819000000.0,2935455923.65,7.01674301562e+11,1.496782e+11,55038712000.0,1.754844e+11,2.06483992744e+12,51920617043.0,2.54138e+11,,,,2154386929.4,1.1572218665e+12,1.02621811987e+12,7.74595678453e+12,5194000000.0,21963298500.0,,2.0648e+12,2.050703e+11,305289000.0,1038327659.85,3072150000.0,1.96285714093e+12,6.811248e+11,522148749.044,,2.54189232e+11,7.73356e+11,1484791000.0,2.1923e+11,1.698802e+11,2.5217269e+12,901277291.0,76470264.0,,15976948865.0,1.73809189378e+12,41175972820.4,3.51681546098e+12,94053263579.6,175099232.0,14616608000.0,7093144000.0,126670000.0,1.3880501e+11,11139912000.0
2002,55273000000.0,,263083898.0,2.25592475387e+11,3.55698444335e+11,83003227091.7,70529475000.0,57238000000.0,1287878919.06,2539040570.0,1182270000.0,3.30452009152e+11,3.115923e+11,1.878606e+11,4.205634e+11,1914059058.56,21117204747.2,4.7201486783e+11,12453551533.0,30108605630.0,335133422.781,341517000.0,43958793000.0,2.8586763e+11,1.48587e+11,2.26089e+11,1.713644e+12,3.1731142e+13,9.71313e+11,5.110758e+12,4.1425397753e+13,7.66876800673e+11,22729100000.0,21166330000.0,132273735.0,42471181694.4,2.26942894273e+12,,8285208024.71,831904000.0,3.6948e+11,218304491.0,1354651393.0,4129939700.2,3702989286.86,65914000000.0,40771495681.7,86361800000.0,1.11598268786e+11,41541988774.7,29976163000.0,6.636408116e+14,1.46106524888e+11,4.74090786537e+12,,1.1662654327e+11,1.51249611e+11,1.316308e+14,1.47182080166e+11,27767080000.0,4.4884947954e+12,44463239763.0,184294271.0,1.79542556e+14,3185407945.9,,260184220.0,4194145883.25,1.26705061496e+11,8320165706.0,,,5.091759e+11,9.62759e+11,4.554793225e+11,40130900000.0,3547176200.79,8.38263541722e+11,1.62208337232e+11,23363593181.0,1.914485e+11,1.7100387e+12,54728893085.0,2.51235e+11,,,3766818658.0,2189067085.39,1.24219928606e+12,1.05368771632e+12,1.01118132969e+13,6003700000.0,30920195400.0,,2.4933e+12,1.757595e+11,338967000.0,1669771005.3,3946758000.0,1.87841169131e+12,7.371808e+11,574097555.848,,2.81781524e+11,8.47716e+11,1146890000.0,2.63842e+11,1.679118e+11,2.8538948e+12,983512744.0,87617750.0,82622557335.0,16408651152.0,2.24786224266e+12,58575794012.3,3.9569961258e+12,1.73706723163e+11,153513478.0,25035092000.0,6804612000.0,147610000.0,1.45291419e+11,13794718000.0
2003,54502000000.0,,337018246.0,2.04397173033e+11,3.87274937048e+11,1.23696587422e+11,85038913000.0,61976000000.0,1358369873.67,2853847050.0,1248460000.0,3.69436670433e+11,4.956165e+11,2.048154e+11,4.148315e+11,1996000173.75,24260151991.9,4.8227895528e+11,12390546269.1,24009322789.0,444670687.05,386882000.0,44117852000.0,3.79032012e+11,1.37397e+11,2.3575e+11,1.120649e+12,2.7163607e+13,8.74022e+11,6.200406e+12,4.4591890385e+13,9.89630883379e+11,23089400000.0,27334120000.0,138308319.0,1.43956386224e+11,2.84063557732e+12,,9575116071.38,860501132.0,3.36613e+11,239161401.0,1409978351.0,2505186782.47,4301772704.32,1.32161e+11,46140894713.9,35294100000.0,1.13855716356e+11,44234701394.8,37649810000.0,6.445455909e+14,1.50609413077e+11,5.33762729822e+12,,87305297500.8,1.65277725e+11,1.351285e+14,1.71039750659e+11,29814000000.0,4.84775428596e+12,43418728214.0,179968458.0,2.19721202e+14,2667927781.38,7.55346989094e+11,294460703.0,3691692120.0,1.46419299327e+11,8724369715.0,,52222550861.5,6.128846e+11,1.366221e+12,6.08613541e+11,44390554741.6,3693982075.01,9.4401134874e+11,2.00004585102e+11,26222505405.0,2.47021e+11,2.16944328e+12,57994904313.0,3.02194e+11,,,3492865917.11,2189515770.83,1.3681160288e+12,1.10124893992e+12,1.06567566323e+13,10918800000.0,37179798800.0,2.866472e+11,3.1777e+12,2.489663e+11,482876000.0,1430283316.53,5516111000.0,1.84186378661e+12,8.401207e+11,626661496.417,,3.586017e+11,9.09139e+11,1194700000.0,2.22635e+11,1.528545e+11,2.28289024092e+12,1260420203.71,100838624.0,81093136417.0,18523676474.0,2.90494824196e+12,73577312848.3,4.37594203632e+12,2.02372938605e+11,160410475.0,42161088000.0,6988069000.0,168590000.0,1.09541578e+11,14469902321.0
2004,67639000000.0,,349862189.0,2.13947919967e+11,3.84231797943e+11,1.67791545252e+11,1.08617227e+11,62234000000.0,1600614039.27,3538459980.0,956580000.0,4.20938e+11,5.83289531324e+11,2.295039e+11,7.2987794217e+11,2096930602.51,26546348001.9,4.97429e+11,14063934312.1,24493081422.0,690850000.0,331625000.0,46730755000.0,6.33335158e+11,1.52147e+11,2.73895e+11,2.65183239529e+12,2.3133798e+13,8.90153e+11,7.865533e+12,4.2812178725e+13,1.11691787471e+12,24739800000.0,26212187000.0,122076068.0,1.97949897167e+11,3.53438883195e+12,3.96813758665e+11,10093474936.3,1048605257.06,4.48472e+11,332095449.0,1727849924.0,3062805201.15,4906314366.08,4.62844e+11,51574729664.2,1.86937166796e+11,1.05638601896e+11,56815497072.7,41158655103.0,6.72681183885e+14,1.32761478125e+11,6.76541299467e+12,2.9958059e+13,1.06590619973e+11,2.1275453e+11,1.509019e+14,1.83467366672e+11,36348702000.0,5.51957386757e+12,42285895670.0,220191736.0,2.5303366e+14,2904415379.86,1.26722544825e+12,364846753.0,3791863444.0,1.6008154404e+11,11351247854.0,,51351726846.5,7.53616745838e+11,1.760281e+12,5.64417097e+11,49819687718.6,4081885986.77,9.98434121978e+11,2.84188579512e+11,30884245714.0,5.24553835543e+11,3.39961074705e+12,61381626596.0,2.86137e+11,1.36391385464e+11,,3448203232.11,2243518644.51,1.27806270262e+12,1.35344040274e+12,1.23106295811e+13,12867200000.0,52903666000.0,3.604721e+11,4.3281e+12,3.511482e+11,799249000.0,1736290523.75,7498063700.0,2.14583192161e+12,1.12049728224e+12,754238160.02,,3.4671615e+11,9.60779451e+11,1533358739.32,2.36538e+11,5.52779071127e+11,2.50413543042e+12,1624797633.0,131418369.72,77409060825.3,23097162751.0,3.37117312661e+12,90019517938.9,4.82701972884e+12,1.91413437215e+11,210848747.0,54251544000.0,8575944000.0,196100000.0,1.34884619e+11,11758409426.2
2005,80336000000.0,,369395900.0,2.37681426063e+11,4.3400236153e+11,3.41123048856e+11,1.30004045e+11,67320000000.0,1633877368.22,4280843620.0,1156960000.0,5.11763e+11,6.55293554569e+11,2.869059e+11,4.38616310302e+11,2237124398.48,28390094494.6,4.70850410239e+11,18393347656.2,34878992721.0,932048400.0,390511000.0,48320317000.0,5.65560809411e+11,1.62896e+11,6.15329e+11,2.56635305914e+12,1.97769962116e+13,9.1153e+11,1.0367601e+13,4.777027778e+13,1.38101539269e+12,29566742806.2,25800281000.0,140923041.0,2.9281200307e+11,4.52072590758e+12,3.77446768547e+11,11185258957.1,875894607.98,5.83736e+11,258386527.0,1858637294.98,3272027531.03,5641607826.11,1.17602e+12,53972762497.8,2.11175251877e+11,1.11024278181e+11,65868134590.6,45355490090.6,6.84214302492e+14,1.57906110433e+11,7.4102561955e+12,4.1738839e+13,1.62294253923e+11,2.40298067e+11,1.630208e+14,2.15543346285e+11,38264756700.0,5.87306942792e+12,46246649701.0,201917333.0,2.71259287e+14,3244578875.17,9.95872885913e+11,320071916.0,4127631344.0,1.71145946287e+11,10615277290.0,1.65042937818e+12,75272068527.5,6.18876359818e+11,2.209985e+12,7.010855311e+11,48467437685.0,4584403472.73,1.08551033034e+12,2.94342766242e+11,34902277588.0,4.73392354152e+11,4.5599657e+12,64541083220.0,3.50632e+11,1.45727634285e+11,,3956205578.64,2574364117.18,1.3107141169e+12,1.55878894588e+12,1.29940873069e+13,17254000000.0,72521100000.0,5.354729e+11,5.994e+12,5.952654e+11,930806000.0,1697738327.93,9721383500.0,2.37541787194e+12,1.2790448341e+12,837331477.29,,7.50014543e+11,9.4633204e+11,2216194443.31,2.78522e+11,4.61220224887e+11,3.0154586536e+12,2077254908.0,131510737.16,93004100191.5,39964565280.3,3.81826279341e+12,1.25956363038e+11,4.89787428689e+12,1.84887317839e+11,195401036.0,86821347000.0,9369263000.0,196830000.0,1.63425899619e+11,9397289402.53
2006,1.03233e+11,1.2433391076e+11,409814031.0,2.67893357078e+11,4.87770874187e+11,7.51627748387e+11,1.62441856e+11,84248000000.0,2735014033.5,5530876218.3,1158008300.61,6.93199e+11,3.61540199696e+11,3.579909e+11,4.92408373125e+11,2277317855.52,37424101545.2,5.28562e+11,18716310530.1,48282481042.0,1389843190.0,483250038.78,51625478000.0,1.20871002114e+12,1.55281e+11,1.087729e+12,1.79280371679e+12,2.12284164072e+13,1.077941e+12,1.2857469e+13,5.0757456176e+13,1.84823713339e+12,33474839317.3,30114270000.0,175380691.0,3.2218375422e+11,6.55655857723e+12,4.36838656276e+11,11260668673.7,912447714.7,6.82977e+11,273478241.0,2574554418.0,3900919306.73,5728261401.49,1.534178e+12,56905218993.5,91567443980.0,1.19786629567e+11,71377183661.2,62166645304.1,7.18423189118e+14,1.61392003674e+11,9.01473915879e+12,4.9919965e+13,3.21841948077e+11,2.6973368e+11,1.229702e+14,2.32756414276e+11,43715829200.0,7.01107084579e+12,47376695732.0,249115095.0,3.03004936e+14,4252445783.54,2.4682418998e+12,366850940.0,5418532287.0,1.95331393087e+11,12714826730.0,1.80344415101e+12,95647083530.5,5.59188800781e+11,2.810187e+12,1.08226053635e+12,54700644638.2,4948710333.36,1.2182863891e+12,3.21964594044e+11,42377954832.0,2.76410858529e+11,9.2588488e+12,66774301332.0,4.28835e+11,1.7333658012e+11,,4213153294.22,4598528456.8,1.59062167771e+12,1.788955e+12,1.37301677535e+13,20206500000.0,82263869000.0,8.179805e+11,8.5051e+12,8.585591e+11,1046294870.31,1845731789.63,9970954200.0,1.79160608983e+12,9.13818957221e+11,1092988309.44,,9.32624421094e+11,9.9626052e+11,3347670531.57,4.09599e+11,2.65181544564e+11,3.1405866709e+12,2480324709.0,131498610.69,1.13683306809e+11,47117132968.6,4.5447558597e+12,1.41237461362e+11,5.63931173616e+12,1.40389322416e+11,217864637.0,1.05127740884e+11,13065035000.0,196556000.0,2.1029727e+11,7905598953.0
2007,2.85949e+11,1.74803718889e+11,418754236.0,2.75964050354e+11,6.37843251403e+11,9.56498132064e+11,2.04610138e+11,93232000000.0,4196042595.32,6780393169.03,1484759357.0,7.94147e+11,5.37002712603e+11,3.975398e+11,6.13190942212e+11,2334421099.51,52817703417.3,7.49086e+11,26360996143.6,58844017315.0,1971330520.0,498158827.74,53896818000.0,8.01362470239e+11,1.35421e+11,1.178744e+12,2.06531108539e+12,1.87082734952e+13,1.440364e+12,1.691398e+13,5.6038242521e+13,2.33090490523e+12,40448875720.3,31930942500.0,168514944.0,3.75928792795e+11,7.71145654885e+12,5.04850491907e+11,12444349803.4,1181894443.42,7.01978e+11,307578401.0,3265733775.0,5469018238.76,5557902869.85,1.761826e+12,60316068745.2,69163153488.0,1.25286495275e+11,69194339699.2,74550295062.1,8.4770010097e+14,1.3589922523e+11,1.18653835506e+13,6.1095617e+13,4.76858504738e+11,2.33606227e+11,1.201418e+14,2.9513183189e+11,55166921189.6,9.99417472729e+12,52360330085.6,270061393.0,3.23460226e+14,5313844258.07,2.2849911748e+12,422593005.0,7351181880.0,2.14507960756e+11,17668200679.0,2.35532087757e+12,99990000000.0,5.65381740526e+11,3.574094e+12,1.51506986912e+12,55711886709.6,6071915528.17,1.31231865908e+12,4.23832764006e+11,47606091926.0,3.565474793e+11,9.69410318279e+12,73189617991.0,4.23552e+11,1.70474512995e+11,3854035848.0,5215865314.81,6228823043.85,1.95252832389e+12,2.02145e+12,1.69205676336e+13,44348200000.0,1.03901537247e+11,8.554607e+11,1.24708e+13,1.1702755e+12,1150158729.42,1510642334.12,10906143100.0,1.99296502992e+12,1.07012191754e+12,1489626440.72,,1.23549741499e+12,1.03483221942e+12,5918325785.96,5.31346e+11,2.5627536076e+11,3.62721822779e+12,3269823798.0,161847786.01,1.08070057988e+11,55213830380.9,5.26158367215e+12,1.98333131765e+11,7.5589043452e+12,1.65712942144e+11,238248142.0,1.29747387228e+11,14289998000.0,220483000.0,2.5612575521e+11,9786766446.73
2008,1.93747e+11,2.02629353817e+11,397414971.0,3.30323407188e+11,6.71217025276e+11,1.44305224431e+12,2.29234102e+11,1.58843e+11,5881479847.65,6378666037.44,1486417974.0,8.54746e+11,5.59286999294e+11,5.139712e+11,8.0605480725e+11,2545642602.92,68189678562.8,1.047155e+12,34465975659.0,68892472732.0,2230816340.0,595292146.34,78583513000.0,8.15292285085e+11,1.61036e+11,1.87046458511e+12,2.40004352692e+12,3.14682077972e+13,1.511782e+12,2.0709599e+13,6.4157293896e+13,2.41535250203e+12,42798224035.3,41079430702.0,141571930.0,4.03185307827e+11,1.05604136935e+13,4.11108463171e+11,14705920402.4,929271433.44,9.43124e+11,291706362.0,3560550873.0,6771753671.41,5124520409.69,2.095309e+12,64194517666.3,81933560334.0,1.38569214159e+11,69587962519.3,88313840771.8,8.81653537808e+14,1.79276274699e+11,1.32518265939e+13,7.0502439e+13,1.18745966284e+12,2.73950967e+11,1.294605e+14,2.91792193181e+11,60908586094.3,1.23256856e+13,55520065369.6,309005742.0,3.12340064e+14,5815160478.37,2.76414721411e+12,389301357.0,9827661760.0,2.20108827421e+11,19877611765.0,2.74802069055e+12,96110788772.0,6.11038776685e+11,3.941956e+12,1.2848373521e+12,60820096937.7,6764289740.91,1.72606264933e+12,3.43685157127e+11,53665432889.0,4.29496190841e+11,1.03204524239e+13,76390731498.0,5.74786e+11,2.33765406838e+11,4650745000.0,5979828105.35,5867296082.25,2.36485950296e+12,2.710684241e+12,1.92237685943e+13,44458500000.0,1.20223245301e+11,8.225825e+11,1.73032e+13,1.6876873e+12,972468581.1,2469599067.2,16257627040.5,1.85989350685e+12,1.1816056867e+12,2099391700.0,,1.64113962956e+12,1.15332427722e+12,7905724406.9,7.27848e+11,3.71703354242e+11,4.32010421686e+12,3949688643.0,157422483.01,1.4895108e+11,75156916496.0,5.82368049421e+12,3.56127794206e+11,8.30014421989e+12,2.63446734116e+11,230511256.0,1.42187740361e+11,15649811000.0,224064000.0,3.46834277982e+11,10585835129.4
2009,2.03937e+11,2.26268530854e+11,401150312.0,3.63789618997e+11,1.04299762887e+12,1.44963975801e+12,2.70286451471e+11,86147000000.0,6505851871.11,6297212490.21,1637613344.0,1.147805e+12,7.71537101165e+11,6.599749e+11,7.75968960671e+11,2970245529.51,74637322325.1,1.103651e+12,39832413162.3,58212991035.0,3815117120.0,657178680.9,71354678000.0,1.73764937041e+12,2.38807e+11,1.82492e+12,2.80048459944e+12,1.86120866833e+13,1.795487e+12,2.27530452388e+13,6.4041871362e+13,2.62880468138e+12,41834107970.3,48903210500.0,160211294.0,4.4228285369e+11,1.12482917478e+13,4.1628690996e+11,17961943192.9,1550595363.06,1.033143e+12,310570871.0,4426459302.04,9013658393.07,7168600000.0,1.488699e+12,71068766777.4,1.10582652069e+11,1.89871057373e+11,72553229276.2,1.08545757369e+11,9.31897705972e+14,2.61023305226e+11,1.51354393269e+13,6.2441381e+13,1.17808226444e+12,3.1010256e+11,1.299683e+14,3.67847391879e+11,85047096750.9,1.52940782e+13,69465439441.0,360623497.0,3.64033256e+14,6416084761.3,4.32081028687e+12,413552177.0,-10925287896.1,2.19944776517e+11,22459389624.7,2.96890090577e+12,1.02010299651e+11,1.01881682994e+12,4.923736e+12,2.98488857461e+12,73243423271.3,7987383681.45,1.76907649625e+12,3.63092342745e+11,70921152512.0,4.78341828917e+11,9.05665830354e+12,89577518968.0,3.76755e+11,2.66887315566e+11,5063006848.0,6536164862.26,7564672166.66,2.58659444346e+12,3.365268026e+12,2.27632632027e+13,71279600000.0,1.46408476444e+11,1.1360145e+12,1.61348e+13,1.5564487e+12,1414770810.89,3415112554.51,17778283452.6,2.57108667504e+12,1.34914335392e+12,2766143675.14,,2.02449333479e+12,1.22470369002e+12,7342957100.0,5.1579e+11,4.7179995677e+11,5.09302789506e+12,3903947213.0,196758356.54,1.6088130344e+11,82699733636.1,7.33738231003e+12,3.8825656803e+11,9.34342398158e+12,2.53980422078e+11,208919791.0,1.55942566331e+11,17090644184.0,333176000.0,3.18648186773e+11,17255272007.4
2010,2.28937e+11,2.69412187994e+11,488224557.157,3.72693976944e+11,9.31046039015e+11,2.04952552871e+12,3.42924982e+11,74946000000.0,8306891362.17,6557396576.99,1608208968.0,1.261304e+12,7.72123958517e+11,6.80429e+11,7.93753782251e+11,3003535305.46,83340236365.5,1.241762e+12,43630489910.8,51206142823.0,6228995530.0,655752666.99,60884835000.0,1.88064344383e+12,2.47871e+11,2.276968e+12,3.12757348614e+12,1.50909183137e+13,2.034202e+12,2.59274889897e+13,6.6843573027e+13,2.66235383711e+12,43880779629.3,50467113000.0,172479223.152,4.947475458e+11,1.23805815423e+13,4.61150296819e+11,21479522688.6,1709497030.7,1.135971e+12,284557980.995,4988632075.84,11636910846.8,8837600000.0,1.167579e+12,75006001276.9,1.01528387939e+11,2.200207082e+11,91913532087.2,1.46247426264e+11,1.169360958e+15,2.99410617135e+11,1.71155261123e+13,6.7599173e+13,1.32823998163e+12,3.71175187e+11,1.359933e+14,4.09594884634e+11,96767550469.3,1.70295374e+13,73835863982.6,448864931.532,3.83187634e+14,6546264097.86,4.92026195746e+12,498283530.252,-9974106808.05,2.17635057727e+11,24251552876.2,3.51949859769e+12,1.1447263172e+11,8.87350442615e+11,6.068143e+12,3.76674563612e+12,86612239956.2,8962476551.75,1.66768722614e+12,3.89600811842e+11,78299995116.0,5.65134603293e+11,8.72104853649e+12,95789134226.0,3.9481e+11,2.82595960943e+11,5320512866.0,6556068389.06,8670439711.94,3.21376822956e+12,3.717198248e+12,2.41114550974e+13,1.170376e+11,1.6440826863e+11,1.1877817e+12,1.60729e+13,1.728941375e+12,2412729594.66,4419469555.25,20002991576.8,3.42651968096e+12,1.50614495071e+12,2698169958.33,,1.85469096062e+12,1.27462519176e+12,5259152138.68,6.17364e+11,5.29867131499e+11,5.63345418398e+12,3701978694.0,213011165.95,1.59263023271e+11,92264340953.9,8.37838908399e+12,4.56720852103e+11,1.11491789013e+13,2.6959223027e+11,303391324.197,2.07016958773e+11,18631883439.0,408081000.0,3.2655049367e+11,18915198168.5
2011,2.34264e+11,3.43286696353e+11,530141057.575,3.8959707156e+11,1.1279531654e+12,3.29319061101e+12,3.9492745e+11,87703000000.0,11495588043.9,6526174019.73,1803629138.0,1.470286e+12,8.73843162851e+11,7.720346e+11,8.05296762493e+11,4730560900.15,1.01134165199e+11,1.482534e+12,41660668276.4,61287463652.0,14782160680.0,739647233.03,64247197000.0,2.60292968326e+12,2.48202e+11,2.913239e+12,3.93040014947e+12,2.49119052068e+13,1.886157e+12,2.80977596652e+13,7.6750318012e+13,2.81028875201e+12,40277595715.3,50619551500.0,196575234.124,5.30862111523e+11,1.42669089831e+13,4.06002155057e+11,22577020818.5,1921207944.56,1.380705e+12,317322131.524,5511998039.89,14411324525.0,9855800000.0,1.555471e+12,76005819732.5,1.84114998478e+11,2.28985234375e+11,96621736631.5,1.55494501201e+11,1.36154150403e+15,3.40446420249e+11,2.05566924901e+13,7.8966357e+13,1.58577507095e+12,3.70875061e+11,1.506701e+14,4.49334620231e+11,1.00414236537e+11,1.8134854613e+13,81317696180.6,656409710.12,4.56340872e+14,7829183204.42,5.09429008992e+12,520257918.6,7867960712.1,2.28250233208e+11,25837578395.1,4.08486504216e+12,1.64498171488e+11,9.34579617275e+11,7.071191e+12,4.67073843542e+12,92681040482.9,9551222518.47,2.28213430575e+12,4.72553930387e+11,3.40498743906e+11,6.07356267426e+11,1.67505882083e+13,1.01827521983e+11,3.40448e+11,3.84000067718e+11,5708009869.0,7470486463.54,9948209830.95,3.8061893901e+12,3.88874349282e+12,2.76250436602e+13,66471400000.0,1.74990880526e+11,1.3912067e+12,1.86429e+13,2.0808432875e+12,3313904245.4,5150146442.87,26451340050.5,3.27458380285e+12,1.49611127824e+12,3686666783.42,9064186219.97,1.93917814658e+12,1.20625935152e+12,5869829864.72,7.87881e+11,6.22924184256e+11,6.12283652691e+12,4837514837.0,261181594.46,2.26096254828e+11,1.01874435667e+11,8.84470275406e+12,4.53416056838e+11,1.3272719354e+13,3.20304420905e+11,249172558.421,3.58987031212e+11,19965483191.0,328751000.0,4.66699228866e+11,20484527300.0
2012,2.62153e+11,4.16838298905e+11,558252340.768,4.00078795164e+11,1.1753676596e+12,3.67624229359e+12,5.38224372e+11,92948000000.0,13703895987.2,6621358809.57,,1.679719e+12,9.0974263339e+11,9.119538e+11,8.06283120539e+11,4931144918.31,1.19724066132e+11,1.799654e+12,54327154383.5,59839185189.0,13682095900.0,825305024.35,77807252000.0,2.95096848876e+12,2.55131e+11,2.810278e+12,3.43303633705e+12,2.30998370361e+13,1.946273e+12,2.945371865e+13,7.7742855018e+13,3.74588738961e+12,43721598715.3,55476646000.0,248087430.229,5.53118279108e+11,1.53263520878e+13,4.55109002498e+11,26646897883.2,2053983641.91,1.45664e+12,312859063.803,5792603417.91,19505437121.9,11085100000.0,2.193786e+12,82123419989.4,1.60329171084e+11,2.40728186287e+11,96209209458.0,1.78584524125e+11,1.47690990992e+15,3.34933738598e+11,2.30750523795e+13,8.7601992e+13,1.06888683707e+12,3.15455323e+11,1.682231e+14,5.55951892342e+11,1.10110662088e+11,2.07004179113e+13,94367887949.6,683704862.459,4.46491051e+14,8626502404.42,5.24322177608e+12,564823514.861,9360267929.25,2.33009191948e+11,32889049951.3,3.88989576836e+12,1.69083737513e+11,9.46752107404e+11,1.001473032e+13,6.67964474253e+12,1.00930551506e+11,10199881733.3,2.33365739715e+12,4.75701419129e+11,4.2090678753e+11,7.52208701674e+11,1.99111263562e+13,1.04976604152e+11,3.23141e+11,4.45364798905e+11,5813683932.0,8269635366.78,9150474225.32,3.93032593052e+12,4.163064906e+12,2.69128017436e+13,1.612369e+11,1.76738425057e+11,1.3798816e+12,2.05391e+13,2.474306525e+12,3977834310.76,5384487895.93,41920169770.0,3.26268215787e+12,1.5318456112e+12,4039041401.75,6973579190.97,2.02212050885e+12,,6667397014.6,8.7898e+11,5.03351917307e+11,6.17174752971e+12,6669955321.0,294498195.103,2.57317041528e+11,1.0188881514e+11,9.87808006449e+12,4.30107697524e+11,1.6652279137e+13,4.0379773008e+11,305812379.238,4.5053027632e+11,20372148455.0,327503000.0,5.07211199078e+11,24955731974.3
